id,path,label
0,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_1783.JPEG,brain_coral
1,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_4317.JPEG,brain_coral
2,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_765.JPEG,brain_coral
3,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_1079.JPEG,brain_coral
4,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_2484.JPEG,brain_coral
5,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_1082.JPEG,brain_coral
6,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_1538.JPEG,brain_coral
7,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_4069.JPEG,brain_coral
8,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_4021.JPEG,brain_coral
9,http://localhost/SearchEngine/reverse_image_search/train/brain_coral/n01917289_1022.JPEG,brain_coral
10,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_6382.JPEG,Rhodesian_ridgeback
11,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_8852.JPEG,Rhodesian_ridgeback
12,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_12174.JPEG,Rhodesian_ridgeback
13,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_239.JPEG,Rhodesian_ridgeback
14,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_10810.JPEG,Rhodesian_ridgeback
15,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_5664.JPEG,Rhodesian_ridgeback
16,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_21329.JPEG,Rhodesian_ridgeback
17,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_5846.JPEG,Rhodesian_ridgeback
18,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_278.JPEG,Rhodesian_ridgeback
19,http://localhost/SearchEngine/reverse_image_search/train/Rhodesian_ridgeback/n02087394_9675.JPEG,Rhodesian_ridgeback
20,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_6305.JPEG,magpie
21,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_4738.JPEG,magpie
22,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_36701.JPEG,magpie
23,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_9174.JPEG,magpie
24,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_7366.JPEG,magpie
25,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_8930.JPEG,magpie
26,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_5870.JPEG,magpie
27,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_9114.JPEG,magpie
28,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_10712.JPEG,magpie
29,http://localhost/SearchEngine/reverse_image_search/train/magpie/n01582220_6915.JPEG,magpie
30,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_42955.JPEG,jean
31,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_54417.JPEG,jean
32,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_43949.JPEG,jean
33,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_6277.JPEG,jean
34,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_24159.JPEG,jean
35,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_9714.JPEG,jean
36,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_32813.JPEG,jean
37,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_16188.JPEG,jean
38,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_38343.JPEG,jean
39,http://localhost/SearchEngine/reverse_image_search/train/jean/n03594734_4800.JPEG,jean
40,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_3708.JPEG,goblet
41,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_23436.JPEG,goblet
42,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_3723.JPEG,goblet
43,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_3288.JPEG,goblet
44,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_7195.JPEG,goblet
45,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_3571.JPEG,goblet
46,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_268.JPEG,goblet
47,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_14193.JPEG,goblet
48,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_9475.JPEG,goblet
49,http://localhost/SearchEngine/reverse_image_search/train/goblet/n03443371_7918.JPEG,goblet
50,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_9535.JPEG,knee_pad
51,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_4447.JPEG,knee_pad
52,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_14123.JPEG,knee_pad
53,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_3552.JPEG,knee_pad
54,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_10486.JPEG,knee_pad
55,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_1346.JPEG,knee_pad
56,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_4415.JPEG,knee_pad
57,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_14574.JPEG,knee_pad
58,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_7294.JPEG,knee_pad
59,http://localhost/SearchEngine/reverse_image_search/train/knee_pad/n03623198_11556.JPEG,knee_pad
60,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_19875.JPEG,lion
61,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_16.JPEG,lion
62,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_5362.JPEG,lion
63,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_12949.JPEG,lion
64,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_19953.JPEG,lion
65,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_5845.JPEG,lion
66,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_1142.JPEG,lion
67,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_11278.JPEG,lion
68,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_17028.JPEG,lion
69,http://localhost/SearchEngine/reverse_image_search/train/lion/n02129165_19310.JPEG,lion
70,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_7928.JPEG,comic_book
71,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_4451.JPEG,comic_book
72,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_12832.JPEG,comic_book
73,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_12588.JPEG,comic_book
74,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_19168.JPEG,comic_book
75,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_11921.JPEG,comic_book
76,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_5634.JPEG,comic_book
77,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_4445.JPEG,comic_book
78,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_3314.JPEG,comic_book
79,http://localhost/SearchEngine/reverse_image_search/train/comic_book/n06596364_4083.JPEG,comic_book
80,http://localhost/SearchEngine/reverse_image_search/train/dugong/n02074367_11389.JPEG,dugong
81,http://localhost/SearchEngine/reverse_image_search/train/dugong/n02074367_6343.JPEG,dugong
82,http://localhost/SearchEngine/reverse_image_search/train/dugong/n02074367_11823.JPEG,dugong
83,http://localhost/SearchEngine/reverse_image_search/train/dugong/n02074367_15261.JPEG,dugong
84,http://localhost/SearchEngine/reverse_image_search/train/dugong/n02074367_3178.JPEG,dugong
85,http://localhost/SearchEngine/reverse_image_search/train/dugong/n02074367_10112.JPEG,dugong
